Country,"	Date","	Conversion",Search,"	Average Time (s)","	Median Time (s)",Add,"	Average Time (s)","	Median Time (s)",Export,"	Is complete"
"	India","	Total",0.04120603,995,2397,91,460,12842,2274,41,
"	India","	Jan 19",0,29,5786,67,14,0,0,0,True
"	India","	Jan 20",0.020408163,49,375,62,19,73753,73753,1,True
"	India","	Jan 21",0.090909091,44,3771,96,24,24749,10692,4,True
"	India","	Jan 22",0.104166667,48,1032,130,26,3668,2001,5,True
"	India","	Jan 23",0.023809524,42,102,52,16,67,67,1,True
"	India","	Jan 24",0.1,20,1192,79,11,1450,1450,2,True
"	India","	Jan 25",0,14,208,58,9,0,0,0,True
"	India","	Jan 26",0.041666667,24,89,40,10,2274,2274,1,True
"	India","	Jan 27",0.023255814,43,218,62,21,173,173,1,True
"	India","	Jan 28",0.071428571,42,10168,73,23,7770,7431,3,True
"	India","	Jan 29",0.0625,48,1173,111,27,6318,7431,3,True
"	India","	Jan 30",0.115384615,52,491,70,27,7033,3697,6,True
"	India","	Jan 31",0.142857143,14,217,146,8,17640,17640,2,True
"	India","	Feb 01",0,22,265,93,10,0,0,0,True
"	India","	Feb 02",0.078125,64,2779,154,22,17460,768,5,True
"	India","	Feb 03",0.075471698,53,3637,157,25,8004,7874,4,True
"	India","	Feb 04",0.076923077,52,4392,159,23,20300,1250,4,True
"	India","	Feb 05",0.06,50,3204,187,27,260,236,3,True
"	India","	Feb 06",0.078431373,51,468,67,27,1176,422,4,True
"	India","	Feb 07",0.111111111,27,233,73,16,25108,3192,3,True
"	India","	Feb 08",0.071428571,14,7366,87,7,37091,37091,1,True
"	India","	Feb 09",0.114754098,61,983,92,29,5787,393,7,True
"	India","	Feb 10",0.1,50,1698,142,26,1012,1020,5,True
"	India","	Feb 11",0.16,50,3604,125,27,803,915,8,True
"	India","	Feb 12",0.081967213,61,2834,87,32,7274,1044,5,True
"	India","	Feb 13",0.115384615,52,508,134,23,2964,961,6,True
"	India","	Feb 14",0.058823529,34,331,53,18,1901,1901,2,True
"	India","	Feb 15",0.095238095,21,1760,104,11,6373,6373,2,True
"	India","	Feb 16",0.104166667,48,7491,55,25,7307,1886,5,False
"	India","	Feb 17",0.083333333,72,2405,147,31,13267,4431,6,False
"	India","	Feb 18",0.049180328,61,716,75,24,620,314,3,False
"	Brazil","	Total",0.12005457,733,3413,118,333,11365,1252,88,
"	Brazil","	Jan 19",0.157894737,19,267,169,10,8125,8223,3,True
"	Brazil","	Jan 20",0.078947368,38,277,58,20,3660,455,3,True
"	Brazil","	Jan 21",0.090909091,33,2125,235,13,433,169,3,True
"	Brazil","	Jan 22",0.063829787,47,3836,110,25,31135,10328,3,True
"	Brazil","	Jan 23",0.086956522,46,611,120,23,8388,7191,4,True
"	Brazil","	Jan 24",0.125,8,147,89,4,2554,2554,1,True
"	Brazil","	Jan 25",0.125,8,105,105,1,6436,6436,1,True
"	Brazil","	Jan 26",0.105263158,38,4308,90,14,14866,1562,4,True
"	Brazil","	Jan 27",0.162162162,37,250,46,21,24889,1714,6,True
"	Brazil","	Jan 28",0.166666667,54,2528,128,27,21769,5860,9,True
"	Brazil","	Jan 29",0.142857143,42,8574,244,24,4560,1511,6,True
"	Brazil","	Jan 30",0.085106383,47,1714,149,22,6460,938,4,True
"	Brazil","	Jan 31",0.25,8,338,229,4,44219,44219,2,True
"	Brazil","	Feb 01",0.142857143,7,88,41,3,5608,5608,1,True
"	Brazil","	Feb 02",0.162790698,43,81,50,20,32259,20081,7,True
"	Brazil","	Feb 03",0.175438596,57,3614,170,28,18699,2791,10,True
